Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,
Electromagnetism Experiment Simulation Based on Game Engine,W. Hu; J. Jiang; L. Shi,"School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,781,785,"Electromagnetism is an experiment-oriented course which plays an important role in middle school physics. However, traditional electromagnetism experiments have many shortcomings. Simulation based on game engine has attracted many educators and teachers to explore its application in the educational field. This paper designs electromagnetism experiment simulation based on the Unity3D game engine, which implements three electromagnetism experiments: static charge, electrostatic induction and earth's magnetic field. Furthermore, this paper constructs a electromagnetism experiment simulation software library, which can be reused to other electromagnetism simulation experiment system.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466492,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466492,Unity3D;Educational Game;Electromagnetism Experiment,Games;Object oriented modeling;Engines;Earth;Electrostatic induction;Magnetic fields;Computational modeling,computational electromagnetics;computer aided instruction;computer games;digital simulation;educational courses;electromagnetic induction;geomagnetism;physics education;software libraries;student experiments;teaching,middle school physics;electromagnetism experiment simulation software library;electromagnetism simulation experiment system;experiment-oriented course;Unity3D game engine;static charge;electrostatic induction;earth magnetic field,,,9,,,,,IEEE,IEEE Conferences,,,,,,
A Multicriteria Analysis Approach for Benchmarking Open Innovation Practices of IT Organizations,S. Grandhi; S. Wibowo,"School of Engineering & Technology, CQ University, Melbourne, Australia; School of Engineering & Technology, CQ University, Melbourne, Australia",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,1,6,"This paper presents a multicriteria analysis approach for measuring and benchmarking open innovation practices of IT organizations. Five important criteria for measuring the open innovation performance of IT organizations are identified. To model the vagueness and imprecision of the decision making process, interval-valued intuitionistic fuzzy numbers are used. Based on the concept of the ideal solutions, the closeness coefficient can be obtained for determining the ranking of the alternatives. This multicriteria analysis approach helps IT organizations to understand their strengths and weaknesses in terms of their open innovation practices performance, and identify relevant areas for improvement.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466494,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466494,Benchmarking;Multicriteria;Open innovation;IT organizations;Vagueness and imprecision,Technological innovation;Organizations;Benchmark testing;Decision making;Research and development;Collaboration;Licenses,fuzzy set theory;innovation management;operations research,multicriteria analysis approach;interval-valued intuitionistic fuzzy numbers;open innovation practices;IT organization,,,25,,,,,IEEE,IEEE Conferences,,,,,,
Concurrent Software Testing Method Based on CSP and PAT,Y. Cao; Y. Wang,"School of Computer Science, Communication University of China, Beijing, China; Science and Technology Department, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,641,644,"The complexity and nondeterminism of software posed immense challenges for the testing of High Confidence Software, and software failures often caused system failures. This paper establishes a concurrent model for the system under test based on the Communicating Sequential Process (CSP) and completes the test by interacting of the model checking tool Process Analysis Toolkit (PAT) and C# code. This method can cover more system execution paths than the traditional software test methods. In this paper, for optimizing the defect that PAT can only use single-thread to simulate the multi-process, a middle layer is designed to dispatch and distribute the event of PAT abstract processes to execute in the actual .NET managed threads, the concurrency granularity is refined from the function level to statement level, which builds a real multi-thread testing environment that can detect software concurrent errors.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466422,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466422,CSP;PAT;model checking;concurrent;testing,Model checking;Software;C# languages;Message systems;Concurrent computing;Software testing,communicating sequential processes;formal verification;multi-threading;program testing,PAT abstract processes;concurrency granularity;multithread testing environment;software concurrent errors;concurrent software testing method;CSP;High Confidence Software;software failures;system failures;concurrent model;Communicating Sequential Process;system execution paths;model checking tool;process analysis toolkit;.NET managed threads,,,16,,,,,IEEE,IEEE Conferences,,,,,,
Propagation Path Loss Prediction Based-on Grey Verhulst Model,L. Wu; X. Liu; Y. Qi; Z. Wu,"Faculty of Science and Technology, Communication University of China, Beijing, China; Faculty of Science and Technology, Communication University of China, Beijing, China; Faculty of Science and Technology, Communication University of China, Beijing, China; Faculty of Science and Technology, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,772,775,"This paper presents a new method of predicting propagation path-loss, which idea comes from grey system theory and Verhulst difference equation, which is called Grey Verhuslt Model. In order to validate correction and accuracy of the model, the simulation and prediction values are compared with the experimental data obtained from the laboratory experiment environment and computing results from Method of Moments (MOM). The performance criterion selected for the comparison between the actual and the predicted data are the root mean square error (RMSE), mean relative error (MRE).",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466461,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466461,grey Verhulst model;path loss prediction,Predictive models;Mathematical model;Data models;Biological system modeling;Propagation losses;Computational modeling;Method of moments,cellular radio;difference equations;grey systems;mean square error methods;method of moments;prediction theory;radiowave propagation,propagation path loss prediction;Grey Verhulst Model;grey system theory;Verhulst difference equation;Grey Verhuslt model;method of moments;MOM;root mean square error;RMSE;mean relative error;MRE,,,11,,,,,IEEE,IEEE Conferences,,,,,,
The Rental Right Policy Impact on Young People Rent and Purchase Intention,Y. Li; D. Wen,"School of Mathematics and Statistics, Zhengzhou Normal University, Zhengzhou, Henan; School of Mathematics and Statistics, Zhengzhou Normal University, Zhengzhou, Henan",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,790,793,"This paper takes Zhengzhou City youths as an example to study the video right policy for young people in the future rent or purchase intention. This paper analyzes the influencing factors of future rental or purchase intention combining the use of chart, variance analysis and correlation analysis, including graduation time, sex, professional category, target city, understanding degree, renting mode, house purchase time, housing amount, purchase reason and so on. Finally, the rationalization proposals are put forward to the government, society and young people.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466528,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466528,rental right;correlation analysis;variance analysis,Urban areas;Government;Correlation;Market research;Economics;Data analysis,consumer behaviour;purchasing;real estate data processing;statistical analysis,purchase intention;professional category;target city;rental right policy impact;Zhengzhou City youths;video right policy;variance analysis;correlation analysis;graduation time;house purchase time;purchase reason;young people rent,,,11,,,,,IEEE,IEEE Conferences,,,,,,
Refined Fluent Builder in Java,M. M. Chalabine,"Avanza Bank, Sweden",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,537,542,"While the classical builder pattern in Java is proven to simplify object instantiation it is known to have some inherent imperfections that leave room for improper use and open for run-time failures. In this paper we improve the classical pattern. As the main contribution we formalize the two main problems we see in the approach today and refine the pattern such that we overcome these limitations at a cost of some auxiliary plain Java code. We validate our result empirically. We run the refined pattern through two major contemporary Java development environments - Eclipse and IntelliJ - and report how the improved source code comprehension opens for better developer guiding, higher developer productivity and higher code quality.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466532,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466532,,Shape;Color;Java;Rendering (computer graphics);Electronic mail;Productivity;Production facilities,Java;software maintenance;software quality,auxiliary plain Java code;refined pattern;contemporary Java development environments;improved source code comprehension;higher code quality;Eclipse;IntelliJ;classical pattern;run-time failures;inherent imperfections;object instantiation;classical builder pattern;fluent builder,,,3,,,,,IEEE,IEEE Conferences,,,,,,
Chemistry Experiment Simulation based on Game Engine,W. Hu; S. Si; Y. Wang,"School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,776,780,"Chemical is an experiment-oriented lesson that plays an important role in middle school curriculum. However, traditional chemical experiment has many disadvantages. Simulation technology based on game platform has attracted many educators and teachers, which can overcome limitations of traditional chemical experiments [1]. This paper designs a chemistry experiment simulation based on Unity3D game engine, which simulates many chemical phenomena such as sedimentation, gas generation, combustion, discoloration, etc. Students can perform chemical experiments in this application via simple interaction and observe the experimental results. Furthermore, this paper constructs a chemical experimental simulation software library, which can be reused to other chemical experiment simulation applications.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466392,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466392,Educational Game;Unity3D;Chemical Experiment,Chemicals;Fires;Games;Wires;Engines;Iron,chemistry computing;computer aided instruction;computer games;digital simulation;software libraries;teaching,chemistry experiment simulation;experiment-oriented lesson;middle school curriculum;game platform;simulation software library;sedimentation;gas generation;Unity3D game engine;combustion;discoloration,,,8,,,,,IEEE,IEEE Conferences,,,,,,
Research on Keyword Extraction of Word2vec Model in Chinese Corpus,C. Zhang; X. Wang; S. Yu; Y. Wang,"School of Computer Science, Communication University of China, Beijing, China; Department of Educational, Information Technology, East China Normal University, Shanghai, China; School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,339,343,"With the rise of neural networks in recent years, Word2vec, a tool based on neural networks, has been widely used. Word2vec, as a new technology for natural language processing, whose appearance has made word expression in computers a major breakthrough. At the same time, more and more people are keen on sports news because of the development of national fitness exercise in our country. However, the existence of professional jargon in the news makes it obscure to ordinary readers. In this paper, Word2vec was applied to sports news, and was used to explore Chinese corpus and keyword extraction. The experimental results show that Word2vec can match related words in descending order of similarity so that readers can understand the news better.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466534,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466534,Word2vec;word vector;keyword extraction,Semantics;Training;Computational modeling;Context modeling;Data mining;Neural networks,natural language processing;neural nets;sport;text analysis,sports news;keyword extraction;Word2vec model;neural networks;word expression;Chinese corpus,,,18,,,,,IEEE,IEEE Conferences,,,,,,
Application of Ant Colony Algorithm in Finding Shortest Paths in Mobile Games,X. Jiang; M. Shi,"School of computer science Communication, University of China, Beijing, P. R. China; School of computer science Communication, University of China, Beijing, P. R. China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,589,592,"Ant colony algorithm is a widely used algorithm, it has its shadow in the power distribution, routing and other places. By studying the way of communication between ants, people discovered the way of using pheromone media to communicate indirectly, and developed the ant colony algorithm. Recently, Card-Cultivate Game to develop mobile games dominated the game all the rage, The levels of this type of game can be abstracted into undirected graphs, A lot of graph algorithms can be applied to this type of Card-Cultivate Game of mobile games. In this paper, ant colony algorithm is applied to Girls Frontline which is a mobile game, Ant colony algorithm is used to calculate the shortest distance from the enemy to the player's command post, let the enemy appear more intelligent, enhance the gaming experience.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466426,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466426,ant colony algorithm;Path-finding algorithm;Mobile Game,Games;Land mobile radio;Convergence;Routing;Computer science;Sociology;Statistics,ant colony optimisation;computer games;graph theory;mobile computing,ant colony algorithm;shortest paths;card-cultivate game;undirected graphs;graph algorithms;mobile games;Girls Frontline,,,9,,,,,IEEE,IEEE Conferences,,,,,,
Analysis of the Art of War of Sun Tzu by Text Mining Technology,W. Huiqin; L. Weiguo,"School of Computer Science, Communication University of China, Beijing, China; Faculty of Science & Technology, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,626,628,"This paper studies the development history and research status of text mining. Text mining technology commonly used to obtain valuable information and knowledge. Based on the use of open source Python modules , "" Art of War of Sun Tzu "" was analyzed through the visualization technology to show the key contents of the book, so that everyone has a more vivid and intuitive understanding of this famous masterpiece.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466540,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466540,Text Mining;Chinese Word segmentation;jieba;Visualization technology;Cloud word,Text mining;Dictionaries;Hidden Markov models;Art;Sun;Viterbi algorithm,data mining;data visualisation;history;text analysis,visualization technology;text mining technology;development history;research status;open source Python modules;Art of War of Sun Tzu,,,6,,,,,IEEE,IEEE Conferences,,,,,,
Play games using Reinforcement Learning and Artificial Neural Networks with Experience Replay,M. Xu; H. Shi; Y. Wang,"School of Computer Science, Northwestern Polytechnical University, Xi’an, China; School of Computer Science, Northwestern Polytechnical University, Xi’an, China; School of Computer Science, Northwestern Polytechnical University, Xi’an, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,855,859,"Reinforcement learning is a self-learning algorithm in which an agent acquires experience through continuous interaction with the environment, which is more like the process of human or animal learning. Reinforcement learning is widely used in the field of playing games, and the classical reinforcement learning algorithm can easily produce Curse of Dimensionality when the state dimension is too large. In order to improve the convergence rate of reinforcement learning, a method of training Non Player Character (NPC) in games using Sarsa learning algorithm is proposed. The artificial neural network is used to approximate the value function. In order to make better use of experience, this paper sets up double neural networks, and uses experience memory to store experience, and uses experience replay to speed up the convergence of sarsa learning. Using the method presented in this paper to train NPC, we can find the NPC which is trained by the method has more learning ability than the classical reinforcement learning.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466428,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466428,reinforcement learning;artificial neural network;experience replay;Non Player Character,Learning (artificial intelligence);Biological neural networks;Approximation algorithms;Artificial neural networks;Convergence;Games,computer games;learning (artificial intelligence);neural nets,Sarsa learning algorithm;experience replay;learning ability;self-learning algorithm;reinforcement learning algorithm;artificial neural networks;games,,,9,,,,,IEEE,IEEE Conferences,,,,,,
