"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep Neural Object Analysis by Interactive Auditory Exploration with a Humanoid Robot","M. Eppe; M. Kerzel; E. Strahl; S. Wermter","Knowledge Technology, Department of Informatics, University of Hamburg, Germany; Knowledge Technology, Department of Informatics, University of Hamburg, Germany; Knowledge Technology, Department of Informatics, University of Hamburg, Germany; Knowledge Technology, Department of Informatics, University of Hamburg, Germany","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","284","289","We present a novel approach for interactive auditory object analysis with a humanoid robot. The robot elicits sensory information by physically shaking visually indistinguishable plastic capsules. It gathers the resulting audio signals from microphones that are embedded into the robotic ears. A neural network architecture learns from these signals to analyze properties of the contents of the containers. Specifically, we evaluate the material classification and weight prediction accuracy and demonstrate that the framework is fairly robust to acoustic real-world noise.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593838","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593838","","Robot sensing systems;Humanoid robots;Robot kinematics;Mel frequency cepstral coefficient;Microsoft Windows;Plastics","audio signal processing;humanoid robots;neural net architecture;signal classification;signal denoising","deep neural object analysis;interactive auditory exploration;humanoid robot;interactive auditory object analysis;robot elicits sensory information;robotic ears;neural network architecture;audio signals;microphone;material classification;weight prediction","","","24","","","","","IEEE","IEEE Conferences"
"Gaussian Process Dynamic Programming for Optimizing Ungrounded Haptic Guidance","J. M. Walker; A. M. Okamura; M. J. Kochenderfer","Department of Mechanical Engineering, Stanford University, Stanford, CA, 94305, USA; Department of Mechanical Engineering, Stanford University, Stanford, CA, 94305, USA; Department of Aeronautics and Astronautics, Stanford University, Stanford, 94305, USA","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","8758","8764","Adapting robot actions to human motions can make human-robot interactions (HRI) more effective. Here, we aim to optimize guidance from haptic devices based on a user's response to produce better task performance. We used Gaussian processes to model the motions a human user made in response to applied torques from an ungrounded control moment gyroscope haptic device. We then used Gaussian process dynamic programming to generate optimized haptic cues to guide the user to rotate the device toward 3D targets. We compared the performance of naive and optimized policies in simulations and with a human user, and found that dynamic programming can significantly improve haptic guidance in cases where human responses are highly variable or inconsistent with the cued haptic direction.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8594395","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594395","","Haptic interfaces;Torque;Brushless motors;Quaternions;Task analysis;Gaussian processes;Robots","dynamic programming;Gaussian processes;gyroscopes;haptic interfaces;human-robot interaction","Gaussian process dynamic programming;ungrounded haptic guidance;human-robot interactions;haptic devices;ungrounded control moment gyroscope haptic device;cued haptic direction","","","33","","","","","IEEE","IEEE Conferences"
"Decentralised Mission Monitoring with Spatiotemporal Optimal Stopping","G. Best; S. Huang; R. Fitch","Collaborative Robotics and Intelligent Systems (CoRIS) Institute, Oregon State University, Corvallis, OR, USA; Centre for Autonomous Systems (CAS), University of Technology Sydney, Sydney, Australia; Centre for Autonomous Systems (CAS), University of Technology Sydney, Sydney, Australia","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","4810","4817","We consider a multi-robot variant of the mission monitoring problem. This problem arises in tasks where a robot observes the progress of another robot that is stochastically following a known trajectory, among other applications. We formulate and solve a variant where multiple tracker robots must monitor a single target robot, which is important because it enables the use of multi-robot systems to improve task performance in practice, such as in marine robotics missions. Our algorithm coordinates the behaviour of the trackers by computing optimal single-robot paths given a probabilistic representation of the other robots' paths. We employ a decentralised scheme that optimises over probability distributions of plans and has useful analytical properties. The planned trajectories collectively maximise the probability of observing the target throughout the mission with respect to probabilistic motion and observation models. We report simulation results for up to 8 robots that support our analysis and indicate that our algorithm is a feasible solution for improving the performance of mission monitoring systems.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593663","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593663","","Monitoring;Trajectory;Target tracking;Robot kinematics;Probabilistic logic;Predictive models","mobile robots;multi-robot systems;optimisation;path planning;probability","decentralised mission monitoring;spatiotemporal optimal stopping;multirobot variant;mission monitoring problem;multiple tracker robots;single target robot;multirobot systems;task performance;marine robotics missions;single-robot paths;probabilistic representation;decentralised scheme;useful analytical properties;planned trajectories;probabilistic motion;observation models;mission monitoring systems","","","24","","","","","IEEE","IEEE Conferences"
"Towards a Context Enhanced Framework for Multi Object Tracking in Human Robot Collaboration","S. C. Akkaladevi; M. Plasch; C. Eitzinger; A. Pichler; B. Rinner","GmbH, Steyr–Gleink, Im Stadtgut A2, 4407, Austria; GmbH, Steyr–Gleink, Im Stadtgut A2, 4407, Austria; GmbH, Steyr–Gleink, Im Stadtgut A2, 4407, Austria; GmbH, Steyr–Gleink, Im Stadtgut A2, 4407, Austria; Alpen-Adria-Universität Klagenfurt, Institute of Networked and Embedded Systems, Austria","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","168","173","In a goal-oriented Human Robot Collaborative (HRC) scenario, where the goal is to complete an assembly process, a robust object tracker might not necessarily fulfill its functional role due to the dynamic nature of HRC. Moreover, for an efficient HRC, the functional role of the object tacker should not only be limited to localizing and tracking objects for robotic manipulation. It should also help to determine the current state of the assembly process and verify if the chosen action has been successfully performed and thus to enable an uninterrupted completion of an HRC assembly process. We present a Context Enhanced Framework for Multi Object Tracking, that i) allows uninterrupted completion of an assembly process, ii) improves the overall functional accuracy of the object tracker from 49 percent to 96 percent, and iii) enables the object tracker to handle multiple instance of multiple objects in a HRC setting.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593842","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593842","","Robot kinematics;Cognition;Task analysis;Object tracking;Three-dimensional displays","human-robot interaction;manipulators;object detection;object tracking;robot vision","uninterrupted completion;functional accuracy;multiple objects;HRC setting;robust object tracker;functional role;object tacker;robotic manipulation;HRC assembly process;multiobject tracking;goal-oriented human robot collaborative scenario;context enhanced framework","","","27","","","","","IEEE","IEEE Conferences"
"Motion Generators Combined with Behavior Trees: A Novel Approach to Skill Modelling","F. Rovida; D. Wuthier; B. Grossmann; M. Fumagalli; V. Krüger","The Robotics Vision, and Machine Intelligence (RVMI)Lab at Aalborg University Copenhagen, Copenhagen, 2450, Denmark; The Robotics Vision, and Machine Intelligence (RVMI)Lab at Aalborg University Copenhagen, Copenhagen, 2450, Denmark; The Robotics Vision, and Machine Intelligence (RVMI)Lab at Aalborg University Copenhagen, Copenhagen, 2450, Denmark; The Robotics Vision, and Machine Intelligence (RVMI)Lab at Aalborg University Copenhagen, Copenhagen, 2450, Denmark; The Robotics Vision, and Machine Intelligence (RVMI)Lab at Aalborg University Copenhagen, Copenhagen, 2450, Denmark","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","5964","5971","Task level programming based on skills has often been proposed as a mean to decrease programming complexity of industrial robots. Several models are based on encapsulating complex motions into self-contained primitive blocks. A semantic skill is then defined as a deterministic sequence of these primitives. A major limitation is that existing frameworks do not support the coordination of concurrent motion primitives with possible interference. This decreases their reusability and scalability in unstructured environments where a dynamic and reactive adaptation of motions is often required. This paper presents a novel framework that generates adaptive behaviors by modeling skills as concurrent motion primitives activated dynamically when conditions trigger. The approach exploits the additive property of motion generators to superpose multiple contributions. We demonstrate the applicability on a real assembly use-case and discuss the gained benefits.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8594319","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594319","industrial robots;skills;reactive system;behavior tress;motio generators;assembly","Task analysis;Generators;Robot kinematics;Force;Planning;Grippers","control engineering computing;industrial robots;motion control;robot programming;trees (mathematics)","programming complexity;industrial robots;complex motions;self-contained primitive blocks;semantic skill;concurrent motion primitives;modeling skills;motion generators;behavior trees;task level programming","","","23","","","","","IEEE","IEEE Conferences"
"Efficient Distributed Torque Computation for Large Scale Robot Skin","F. Bergner; E. Dean-Leon; G. Cheng","Institute for Cognitive Systems, Technische Universität München, Munich, Germany; Institute for Cognitive Systems, Technische Universität München, Munich, Germany; Institute for Cognitive Systems, Technische Universität München, Munich, Germany","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","1593","1599","The realization of a kinesthetic robot behavior using robot skin requires a reactive skin torque controller, which fuses skin information and robot information to an appropriate skin joint torque in real-time. This fusion of information in real-time is challenging when deploying large scale skin. In this paper, we present a system which efficiently computes the torque of distributed skin cells locally at the point of contacts, completely removing this complex computations from the real-time loop. We demonstrate the feasibility of realizing the skin joint torque computations on the local micro-controllers of the skin cells. Conducting experiments with a real robot, we compare the accuracy of the distributed skin joint torque computation with the computation on the control PC. We also show that the novel distributed approach completely eliminates the computational delay of computing skin joint torques in the robot's real-time control loop. As a result, this approach removes any limits for the maximum number of skin cells in control.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8594144","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594144","","Skin;Torque;Robot sensing systems;Real-time systems;Robot kinematics","computational complexity;control engineering computing;mobile robots;real-time systems;sensor fusion;skin;tactile sensors;torque control","skin information;reactive skin torque controller;kinesthetic robot behavior;scale robot skin;efficient distributed torque computation;real-time control loop;skin joint torques;computational delay;control PC;distributed skin joint torque computation;local microcontrollers;skin joint torque computations;real-time loop;complex computations;distributed skin cells;scale skin;appropriate skin joint torque","","","24","","","","","IEEE","IEEE Conferences"
"History-Aware Autonomous Exploration in Confined Environments Using MAVs","C. Witting; M. Fehr; R. Bähnemann; H. Oleynikova; R. Siegwart","Technical University of Denmark, Master student at the Faculty of Electrical Engineering, Lyngby, Denmark; ETH Zürich, Autonomous Systems Lab (ASL), Zürich, Switzerland; ETH Zürich, Autonomous Systems Lab (ASL), Zürich, Switzerland; ETH Zürich, Autonomous Systems Lab (ASL), Zürich, Switzerland; ETH Zürich, Autonomous Systems Lab (ASL), Zürich, Switzerland","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","1","9","Many scenarios require a robot to be able to explore its 3D environment online without human supervision. This is especially relevant for inspection tasks and search and rescue missions. To solve this high-dimensional path planning problem, sampling-based exploration algorithms have proven successful. However, these do not necessarily scale well to larger environments or spaces with narrow openings. This paper presents a 3D exploration planner based on the principles of Next-Best Views (NBVs). In this approach, a Micro-Aerial Vehicle (MAV)equipped with a limited field-of-view depth sensor randomly samples its configuration space to find promising future viewpoints. In order to obtain high sampling efficiency, our planner maintains and uses a history of visited places, and locally optimizes the robot's orientation with respect to unobserved space. We evaluate our method in several simulated scenarios, and compare it against a state-of-the-art exploration algorithm. The experiments show substantial improvements in exploration time (2 × faster), computation time, and path length, and advantages in handling difficult situations such as escaping dead-ends (up to 20 × faster). Finally, we validate the on-line capability of our algorithm on a computational constrained real world MAV.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8594502","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594502","","Planning;Robot sensing systems;Three-dimensional displays;Trajectory;History;Optimization","attitude control;autonomous aerial vehicles;mobile robots;path planning","sampling-based exploration algorithms;3D exploration planner;field-of-view depth sensor;configuration space;high sampling efficiency;computational constrained real world MAV;history-aware autonomous exploration;confined environments;inspection tasks;high-dimensional path planning problem;microaerial vehicle;search and rescue missions;next-best views;robot orientation","","1","33","","","","","IEEE","IEEE Conferences"
"3D Deep Object Recognition and Semantic Understanding for Visually-Guided Robotic Service","S. Lee; A. M. Naguib; N. U. Islam","Intelligent Systems Research Institute, School of Information and Communication Engineering, Sungkyunkwan University, Suwon, Korea; Intelligent Systems Research Institute, School of Information and Communication Engineering, Sungkyunkwan University, Suwon, Korea; Intelligent Systems Research Institute, School of Information and Communication Engineering, Sungkyunkwan University, Suwon, Korea","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","903","910","For the success of visually-guided robotic errand service, it is critical to ensure dependability under various ill-conditioned visual environments. To this end, we have developed Adaptive Bayesian Recognition Framework in which in-situ selection of multiple sets of optimal features or evidences as well as proactive collection of sufficient evidences are proposed to implement the principle of dependability. The framework has shown excellent performance with a limited number of objects in a scene. However, there arises a need to extend the framework for handling a larger number of objects without performance degradation, while avoiding difficulty in feature engineering. To this end, a novel deep learning architecture, referred to here as FER-CNN, is introduced and integrated into the Adaptive Bayesian Recognition Framework. FER-CNN has capability of not only extracting but also reconstructing a hierarchy of features with the layer-wise independent feedback connections that can be trained. Reconstructed features representing parts of 3D objects then allow them to be semantically linked to ontology for exploring object categories and properties. Experiments are conducted in a home environment with real 3D daily-life objects as well as with the standard ModelNet dataset. In particular, it is shown that FER-CNN allows the number of objects and their categories to be extended by 10 and 5 times, respectively, while registering the recognition rate for ModelNet10 and ModelNet40 by 97% and 89.5%, respectively.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593985","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593985","","Three-dimensional displays;Bayes methods;Robots;Object recognition;Deep learning;Feature extraction;Two dimensional displays","Bayes methods;convolutional neural nets;feature extraction;image reconstruction;learning (artificial intelligence);neurocontrollers;object recognition;ontologies (artificial intelligence);robot vision;service robots","semantic understanding;visually-guided robotic service;visually-guided robotic errand service;visual environments;deep learning architecture;FER-CNN;layer-wise independent feedback connections;reconstructed features;object categories;3D daily-life objects;recognition rate;ontology;feature extraction;3D deep object recognition;adaptive Bayesian recognition framework","","1","33","","","","","IEEE","IEEE Conferences"
"A Framework for Modeling Closed Kinematic Chains with a Focus on Legged Robots","V. R. Kamidi; A. Williams; P. Ben–Tzvi","Robotics and Mechatronics Lab at Virginia Tech, Blacksburg, VA, USA; Robotics and Mechatronics Lab at Virginia Tech, Blacksburg, VA, USA; Department of Mechanical Engineering, Virginia Tech, Blacksburg, VA, USA","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","2733","2738","This paper presents the foundations of a MATLAB framework for dynamic modeling and simulation of closed kinematic chain (CKC) mechanisms, with a particular focus on implementation with legged locomotive mechanisms. As such, the framework supports both floating-base and fixed-base systems. Through the use of singular perturbation theory, various CKC mechanisms can be modeled so that constraint errors asymptotically converge to zero, thus avoiding the numerical drift that plagues commonly used methods. A functional API and the relevant core commands necessary to construct a model are presented. Two robotic legs incorporating CKC mechanisms are utilized as case studies, and simulations of each leg performing a dynamic monopedal gait are illustrated.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593909","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593909","","Mathematical model;Legged locomotion;Kinematics;Software;Computational modeling;Couplings","legged locomotion;robot kinematics;singularly perturbed systems","legged robots;MATLAB framework;dynamic modeling simulation;legged locomotive mechanisms;fixed-base systems;singular perturbation theory;CKC mechanisms;dynamic monopedal gait;closed kinematic chains;floating-base systems;functional API","","","19","","","","","IEEE","IEEE Conferences"
"LDSO: Direct Sparse Odometry with Loop Closure","X. Gao; R. Wang; N. Demmel; D. Cremers","Department of Informatics, Technical University of Munich, Computer Vision Group, Germany; Department of Informatics, Technical University of Munich, Computer Vision Group, Germany; Department of Informatics, Technical University of Munich, Computer Vision Group, Germany; Department of Informatics, Technical University of Munich, Computer Vision Group, Germany","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","2198","2204","In this paper we present an extension of Direct Sparse Odometry (DSO) [1] to a monocular visual SLAM system with loop closure detection and pose-graph optimization (LDSO). As a direct technique, DSO can utilize any image pixel with sufficient intensity gradient, which makes it robust even in featureless areas. LDSO retains this robustness, while at the same time ensuring repeatability of some of these points by favoring corner features in the tracking frontend. This repeatability allows to reliably detect loop closure candidates with a conventional feature-based bag-of-words (BoW) approach. Loop closure candidates are verified geometrically and Sim(3) relative pose constraints are estimated by jointly minimizing 2D and 3D geometric error terms. These constraints are fused with a co-visibility graph of relative poses extracted from DSO's sliding window optimization. Our evaluation on publicly available datasets demonstrates that the modified point selection strategy retains the tracking accuracy and robustness, and the integrated pose-graph optimization significantly reduces the accumulated rotation-, translation- and scale-drift, resulting in an overall performance comparable to state-of-the-art feature-based systems, even without global bundle adjustment.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593376","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593376","","Optimization;Feature extraction;Microsoft Windows;Simultaneous localization and mapping;Cameras;Bundle adjustment;Robustness","feature extraction;graph theory;mobile robots;optimisation;pose estimation;robot vision;SLAM (robots)","intensity gradient;DSO sliding window optimization;Sim(3) relative pose constraints;image pixel;loop closure detection;monocular visual SLAM system;Direct Sparse Odometry;state-of-the-art feature-based systems;pose-graph optimization;modified point selection strategy;relative poses;co-visibility graph;3D geometric error terms;conventional feature-based bag-of-words approach;loop closure candidates;tracking frontend;corner features;LDSO;featureless areas","","","27","","","","","IEEE","IEEE Conferences"
"Plugo: A Scalable Visible Light Communication System Towards Low-Cost Indoor Localization","Q. Liang; L. Wang; Y. Li; M. Liu","Department of ECE, Hong Kong University of Science and Technology; Chinese Academy of Sciences, Center for Cloud Computing, Shenzhen Institutes of Advanced Technology; Department of MBE, City University of Hong Kong; Department of ECE, Hong Kong University of Science and Technology","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","3709","3714","Indoor localization is critical to many location-aware applications, however, a low-cost solution with guaranteed accuracies has not yet come. Visible Light Communication (VLC-) based localization techniques are very promising to fill this gap. In this paper, we propose Plugo, a novel VLC system with random multiple access towards low-cost indoor localization. Compared to conventional RF-based approaches that rely on dedicated wireless access points as location beacons, the proposed system has the potential to deliver better accuracies with reduced cost. Specifically, we build a handful of compact VLC-compatible LED bulbs out of low-cost offthe-shelf components (around $10 total cost for each assembly) and recover VLC signals using a cheap photodiode receiver. The basic framed slotted Additive Links On-line Hawaii Area (ALOHA) is exploited to achieve random multiple access over the shared optical medium. We show its effectiveness in beacon broadcasting by experiments, and further, demonstrate a preliminary localization result with sound accuracy by using fingerprinting-based methods in a customized testbed.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8594287","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594287","","Light emitting diodes;Receivers;Wireless communication;Optical transmitters;Encoding;Frequency modulation","free-space optical communication;indoor communication;photodiodes","Plugo;novel VLC system;cheap photodiode receiver;VLC-based localization techniques;location-aware applications;scalable visible light communication system;preliminary localization result;VLC signals;low-cost offthe-shelf components;compact VLC-compatible;dedicated wireless access points;conventional RF-based approaches;low-cost indoor localization;random multiple access","","","20","","","","","IEEE","IEEE Conferences"
"Manipulation Planning Under Changing External Forces","L. Chen; L. F. C. Figueredo; M. Dogar","University of Leeds, School of Computing, Leeds, UK; University of Leeds, School of Computing, Leeds, UK; University of Leeds, School of Computing, Leeds, UK","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","3503","3510","We present a manipulation planning algorithm for a robot to keep an object stable under changing external forces. We particularly focus on the case where a human may be applying forceful operations, e.g. cutting or drilling, on an object that the robot is holding. The planner produces an efficient plan by intelligently deciding when the robot should change its grasp on the object as the human applies the forces. The planner also tries to choose subsequent grasps such that they will minimize the number of regrasps that will be required in the long-term. Furthermore, as it switches from one grasp to the other, the planner solves the problem of bimanual regrasp planning, where the object is not placed on a support surface, but instead it is held by a single gripper until the second gripper moves to a new position on the object. This requires the planner to also reason about the stability of the object under gravity. We provide an implementation on a bimanual robot and present experiments to show the performance of our planner.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593555","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593555","","Planning;Grippers;Manifolds;Manipulators;Task analysis;Robot kinematics","grippers;path planning;position control;stability","bimanual regrasp planning;bimanual robot;external forces;manipulation planning algorithm;forceful operations;subsequent grasps;single gripper;stability","","1","26","","","","","IEEE","IEEE Conferences"
"Adaptive Path Following of Snake Robot on Ground with Unknown and Varied Friction Coefficients","G. Wang; W. Yang; Y. Shen; H. Shao","Department of Electrical & Biomedical Engineering, University of Nevada, Reno, NV, 89557, USA; Department of Electrical & Biomedical Engineering, University of Nevada, Reno, NV, 89557, USA; Department of Electrical & Biomedical Engineering, University of Nevada, Reno, NV, 89557, USA; University of Jinan, School of Mechanical Engineering, Jinan, 250022, China","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","7583","7588","This paper investigates the straight path following problem for a class of underactuated bio-inspired snake robots on ground with unknown and varied friction coefficients. Existing works usually design control input requiring the exact values of these friction coefficients, which however rely on the specific operating terrain and may not always be known a priori. By virtue of backstepping technique, we present a novel adaptive controller that can compensate for unknown and varied friction coefficients in real-time. Moreover, it is proved via LaSalle-Yoshizawa theorem that the path following errors converge to zero asymptotically and all the parameter estimates are bounded. Simulations and experiments on an 8-link snake robot are carried out to illustrate the effectiveness of the proposed controller.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8594466","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594466","","Snake robots;Friction;Tuning;Backstepping;Adaptation models;Stability analysis","adaptive control;control nonlinearities;control system synthesis;friction;mobile robots;motion control;parameter estimation","varied friction coefficients;underactuated bio-inspired snake robots;adaptive controller;8-link snake robot;adaptive path following;backstepping technique;parameter estimation;control design input;LaSalle-Yoshizawa theorem","","","15","","","","","IEEE","IEEE Conferences"
"Multi-Limbed Robot Vertical Two Wall Climbing Based on Static Indeterminacy Modeling and Feasibility Region Analysis","X. Lin; H. Krishnan; Y. Su; D. W. Hong","Department of Mechanical and Aerospace Engineering, Robotics and Mechanisms Laboratory (RoMeLa), University of California, Los Angeles, CA, 90024; Department of Mechanical and Aerospace Engineering, Robotics and Mechanisms Laboratory (RoMeLa), University of California, Los Angeles, CA, 90024; Department of Mechanical and Aerospace Engineering, Robotics and Mechanisms Laboratory (RoMeLa), University of California, Los Angeles, CA, 90024; Department of Mechanical and Aerospace Engineering, Robotics and Mechanisms Laboratory (RoMeLa), University of California, Los Angeles, CA, 90024","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","4355","4362","This paper presents a technique to model statically indeterminate forces based on stiffness matrices for multi-limbed climbing robots. Current wall climbing robots in literature overlook statically indeterminate forces, causing an incapability to estimate climbing failure under certain circumstances. Accounting for these forces, robot deformation can be approximated, paving the way for the proposed two-wall climbing approach. During a wall climb, two failure modes, slide and over-torque, are identified to compute feasible climbing region. A hexapod robot is used to verify the proposed technique by climbing between walls with pure friction end effectors.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593734","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593734","","Strain;Mathematical model;Friction;Force;Robot kinematics;Manipulators","end effectors;friction;legged locomotion","climbing region;feasibility region analysis;multilimbed climbing robots;slide failure mode;over-torque failure mode;pure friction end effectors;walls;hexapod robot;robot deformation;climbing failure;robots;stiffness matrices;statically indeterminate forces;static indeterminacy modeling;multilimbed robot vertical two wall climbing","","","23","","","","","IEEE","IEEE Conferences"
"Fast Trajectory Planning for Automated Vehicles Using Gradient-Based Nonlinear Model Predictive Control","F. Gritschneder; K. Graichen; K. Dietmayer","Control and Microtechnology, Ulm University, Institute of Measurement, Ulm, 89081, Germany; Control and Microtechnology, Ulm University, Institute of Measurement, Ulm, 89081, Germany; Control and Microtechnology, Ulm University, Institute of Measurement, Ulm, 89081, Germany","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","7369","7374","Motion trajectory planning is one crucial aspect for automated vehicles, as it governs the own future behavior in a dynamically changing environment. A good utilization of a vehicle's characteristics requires the consideration of the nonlinear system dynamics within the optimization problem to be solved. In particular, real-time feasibility is essential for automated driving, in order to account for the fast changing surrounding, e.g. for moving objects. The key contributions of this paper are the presentation of a fast optimization algorithm for trajectory planning including the nonlinear system model. Further, a new concurrent operation scheme for two optimization algorithms is derived and investigated. The proposed algorithm operates in the submillisecond range on a standard PC. As an exemplary scenario, the task of driving along a challenging reference course is demonstrated.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593913","","Mathematical model;Planning;Vehicle dynamics;Trajectory;Optimization;Task analysis;Heuristic algorithms","gradient methods;mobile robots;nonlinear control systems;optimisation;path planning;predictive control;road vehicles","automated vehicles;motion trajectory planning;dynamically changing environment;nonlinear system dynamics;automated driving;nonlinear system model;optimization algorithms;gradient-based nonlinear model predictive control;standard PC","","","14","","","","","IEEE","IEEE Conferences"
"Real-Time Clustering and Multi-Target Tracking Using Event-Based Sensors","F. Barranco; C. Fermuller; E. Ros","Univ. of Granada, Dept. of Comp. Arch. and Tech., Spain; UMIACS, University of Maryland, Dept. of Computer Science, College Park, MD, USA; Univ. of Granada, Dept. of Comp. Arch. and Tech., Spain","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","5764","5769","Clustering is crucial for many computer vision applications such as robust tracking, object detection and segmentation. This work presents a real-time clustering technique that takes advantage of the unique properties of event-based vision sensors. Since event-based sensors trigger events only when the intensity changes, the data is sparse, with low redundancy. Thus, our approach redefines the well-known mean-shift clustering method using asynchronous events instead of conventional frames. The potential of our approach is demonstrated in a multi-target tracking application using Kalman filters to smooth the trajectories. We evaluated our method on an existing dataset with patterns of different shapes and speeds, and a new dataset that we collected. The sensor was attached to the Baxter robot in an eye-in-hand setup monitoring real-world objects in an action manipulation task. Clustering accuracy achieved an F-measure of 0.95, reducing the computational cost by 88% compared to the frame-based method. The average error for tracking was 2.5 pixels and the clustering achieved a consistent number of clusters along time.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593380","","Sensors;Shape;Real-time systems;Kalman filters;Target tracking;Robots","computer vision;image segmentation;image sensors;Kalman filters;object detection;pattern clustering;target tracking","event-based sensors;computer vision applications;robust tracking;object detection;segmentation;real-time clustering technique;event-based vision sensors;mean-shift clustering method;asynchronous events;multitarget tracking application;clustering accuracy;frame-based method","","","21","","","","","IEEE","IEEE Conferences"
